State Name (state_name),State Code (state_code),Forest division name (division),Forest range name (range),Forest Conservation Act project (fca_project),Year of initiation of project (fca_project_year),Name of the site (site_name),Area diverted in hectares (area_diverted),Type of land (land_type),Updated on (updated_on),Updated by (updated_by),Diverted land GPS identifier (diverted_land_gps_id),
Punjab,3,Amritsar,Amritsar-2,diversion of 0.93 ha of forest land for construction of 2600mm dia RCC cum brick masonry sewer along chheharta distributory adjoining Ramtirath road u [31771],2014,diversion of 0.93 ha of forest land for construction of 2600mm dia RCC cum brick masonry sewer along,0.93,Protected Forest (PF),17-03-2016,DFO Amritsar,7430,
Punjab,3,Hoshiarpur,Hoshiarpur,"APP. ROAD TO THE RETAIL OUTLET OF HPCL AT VILLAGE ARGOWAL ON SH 24 HOSHIARPUR - DASUYA ROAD KM. 32-33, L/S [20135]",2011,APP. ROAD TO THE RETAIL OUTLET OF HPCL AT VILLAGE ARGOWAL ON SH 24 HOSHIARPUR - DASUYA ROAD KM. 32-3,0.024,Protected Forest (PF),19-10-2015,DFO Hoshiarpur,6325,
Punjab,3,Jalandhar,Jalandhar,66 KV BHOGPUR-KHANDAL [21034],1997,Construction of 66 KV Bhogpur-Khandala Jattan Transmission Line.,0.142,Protected Forest (PF),22-07-2017,DFO Jalandhar,9303,
Karnataka,29,Haliyal,Haliyal,"Diversion of 17.35 ha of forest land for the purpose of Road widening from Alnavar to Talwala coming under the juridection of Haliyal Division, in fav [2449]",2007,Haliyal Dn.,17.35,Unclassified Forest,27-05-2015,DFO Haliyal,3963,
Tripura,16,Kanchanpur,Pecharthal,Diversion of 337.33 ha of forest land for construction of 400 KV Transmission Line from Palatana to Chuaribari. [2217],2010,Construction of 400 KV Transmission Line from Palatana to Chuaribari.,6.767,Protected Forest (PF),28-11-2012,Administrator,696,
Chhattisgarh,22,Khairagarh,Chui Khadan,CONSTRUCTION OF PRADHANPATH BAIRRAJ SCHEME IN VILLAGE-CHHUAIKHADAN IN FAVOUR OF EXECUTIVE ENGINEER CHHUAI KHADAN [27238],2008,365,2.57,Protected Forest (PF),17-02-2021,DFO Khairagarh,7897,
Punjab,3,Bathinda,Rampura,FOREST LAND FOR CONSTRUCTION OF POWERHOUSE AT SIDHANA RD 307000 AND STRENGTHENING & RAISING OF CANAL BANKS [22900],2005,BBC RD 280000-307000 B/S,3.899,Protected Forest (PF),10-11-2015,DFO Bathinda,6605,
Punjab,3,Mansa,Budhlada,"Diversion of 0.0024 ha. in favour of PL Surya Urja Ltd. for 20 MW Solar Power Project, Village. Gamiwala-Hakamwala, Distt. Mansa, Punjab. [32061]",2014,BMB RD 215 to 228 L/s (Diversion of 0.0024 ha. in favour of PL Surya Urja Ltd. for 20 MW Solar Power,0.002,Protected Forest (PF),20-02-2022,DFO Mansa,13154,
Tamil Nadu,33,Coimbatore,Coimbatore,ERECTION OF 11 KV TL TO ARULMIGU SUBRAMANYA SWAMY TEMPLE MARUTHAMALAI BOLAMPATTI BLOCK III RF BOLAMPATTI RANGE COIMBATORE DIVN [31959],1998,Bolampatti Block - III RF,0.63,Reserved Forest (RF),05-01-2021,DFO Coimbatore,11552,
Tamil Nadu,33,Kanyakumari,Alagiyapandiyapuram,"FOR PROVIDING WATER SUPPLY AT VEERAPULI RF OF THANDIKARANKONAM, AZHAGIAPANDIYAPURAM RANGE IN KANNIYAKUMARI DIVN [26099]",1999,Thadikkarankonam,0.542,CA Land Received under FCA Proposal,18-01-2021,DFO Kanyakumari,11564,
Haryana,6,Sirsa,Rania,"APP. RD. TO RETAIL OUTLET OF IOCL ON ELLENABAD- HANUMANGARH BYE PASS RD. ELLENABAD,. [16756]",2008,Ellenabad-Hanumangarh bye pass road at Ellenabad,0.012,Protected Forest (PF),04-07-2015,Rania,4233,
Chhattisgarh,22,Kanker,Narharpur,CONSTRUCTION OF DABENA TANK PROJECT [31516],2004,BHansuli / PF 31,12.319,Protected Forest (PF),16-02-2022,DFO Kanker,13101,
Gujarat,24,Ahmedabad SF,Viramgam SF,Diversion of 23.88 Hect. of Protected Forest land for Widening of SH-17 Viramgam-Behchraji rod km 0/00 to 43.600 in favur of Exective Engenier R&B di,2018,Diversion of 23.88 Hect. of Protected Forest land for Widening of SH-17 Viramgam-Behchraji rod km 0,23.88,Protected Forest (PF),21-07-2022,DFO Ahmedabad SF,13762,
Tripura,16,Teliamura,Mandai,Diversion of 1.52 ha of forest land for exploratory drilling by ONGC at Location BMDC under Teliamura Forest Division.West Tripura District. [2088],2011,"Exploratory drilling of well,extraction & transportation of Hydrocarbon at BMDC.",1.52,Reserved Forest (RF),16-12-2014,TR State Admin,2670,
Rajasthan,8,DCF Jalore,RANGE JALORE,M/L OF MASONARY STONE IN FAVOUR OF 5 L/H [13844],2002,KALA GHATA,5.279,Reserved Forest (RF),24-11-2017,DFO DCF Jalore,9877,
Haryana,6,Kaithal,Kaithal,"WIDENING OF AMBALA-HISAR ROAD KM 123.28 TO 125.28 B/S (CITY PORTION AT KAITHAL) IN F/O EXECUTIVE ENGINEER, PROV. DIVN. PWD B&R BR. KAITHAL, FT. DIVN. [18491]",2010,AMBALA-HISAR ROAD KM 123.28 TO 125.28 B/S (CITY PORTION AT KAITHAL,2.2,Protected Forest (PF),18-04-2015,DFO Kaithal,3746,
Uttar Pradesh,9,Social Forestry Division Meerut,Meerut,Proposed IOCL Petrol Pump On Hapur-Meerut (NH-235) at KM. No.07 CH. 6.946KM,2016,RITHANI FOREST BLOCK 0.05 HA. PART-4 ASW YEAR 2020-21,0.05,Reserved Forest (RF),05-08-2021,DFO Social Forestry Division Meerut,12360,
Chhattisgarh,22,East Bhanupratappur,Antagarh,THE PROPOSED BROAD GUAGE RAIL LINE BETWEEN DALLI RAJHARA ROWGHAT [33153],2005,Village-Hoychur,1.92,Revenue Forest,05-03-2016,DFO East Bhanupratappur,7401,
Punjab,3,Sangrur,Barnala,TOLL PALZA ON PATIALA-SANGRUR-BARNALA-BATHINDA ROAD AT VILL BADBAR KM132-133ON NH 64(NEW NH 7),2017,PATIALA SANGRUR BARNALA BATHINDA ROAD KM 132-133 R/S,0.288,Revenue Forest,23-11-2021,DFO Sangrur,12691,
Haryana,6,Kurukshetra,Thanesar,"APP. RD. TO RETAIL OUTLET OF IOCL ALONG NH-65 KM. 28.600, AT VILL. ISMAILABAD [19054]",2008,Village Ismailabad,0.018,Protected Forest (PF),04-06-2018,DFO Kurukshetra,10447,
Himachal Pradesh,2,Kullu,Kullu,"Diversion of 0.1120 ha of forest land for the Construction of LPG Godown at Bashing, Forest div kullu. [6419]",2011,Sari,0.112,Unclassified Forest,17-05-2015,DFO Kullu,3934,
Punjab,3,Mansa,Mansa,"APP. ROAD TO THE RETAIL OULET OF HPCL ON MANSA TALWANDI ROAD KM. 14-15, R/S [20126]",2011,(KBC 274 to 280 B/s) PF forest strip along Mansa - Talwandi road KM 14-15 Right side,0.086,Protected Forest (PF),08-06-2022,DFO Mansa,13565,
Uttarakhand,5,"DFO , Nanda Devi national park","RO Joshimath , NDNP",CONSTRUCTION OF RISHIGANGA MINOR HYDEL PROJECT [3447],2000,Civil Land,0.125,Revenue Forest,25-08-2017,"DFO , Nanda Devi national park",9604,
Haryana,6,Mewat,Nuh,"ACCESS TO PETROL PUMP AT NH-71B, TAWRU BYPASS ROAD, KM 1-2 LEFT SIDE AT VILLAGE GWARKA, FT. DIVN. MEWAT-NUH [18546]",2010,Tauru By Pass Road Km. 1-2 L/Side on NH-71B,0.025,Protected Forest (PF),20-03-2018,DFO Mewat,10133,
Uttarakhand,5,"DFO Chakrata , Kalsi","RO Rikhnar, Chakrata",CONSTRUCTION OF CHAKRATA LAKHAMANDAL ROAD TO KHARSI LVM ROAD [31053],2000,kanasar-10,4.8,Reserved Forest (RF),12-08-2015,"DFO Chakrata , Kalsi",4621,
Chhattisgarh,22,Balod,Gurur,Diversion of 81.974ha. Forest land for 400KV DC Jagdalpur Transmission Line in Bastar district favour of Chhattisgarh State Electrical Transmission Co [32102],2013,"Armari Kala Khasara No. 580, 641, 642",30,Revenue Forest,19-08-2021,DFO Balod,12374,
Gujarat,24,Jamnagar,Dhrol,CONSTRUCTION OF UND RESCHARGE RESERVOIR-BALAMBHA BANDHARA SPEEDING CHANNEL [14850],2010,CONSTRUCTION OF UND RESCHARGE RESERVOIR-BALAMBHA BANDHARA SPEEDING CHANNE,0.95,Reserved Forest (RF),10-02-2015,DFO Jamnagar,3333,
Uttarakhand,5,"DFO , Nanda Devi national park","RO valley of flowers , NDNP",YUTH HOSTEL BADRINATH [11266],2003,Badrinath,0.6,Revenue Forest,22-08-2017,"DFO , Nanda Devi national park",9572,
Gujarat,24,Dang-South,Chichigaontha,LAYING OF 11 KV HIGH POWER LINE [14570],1988,0,0,Reserved Forest (RF),06-10-2017,DFO Dang-South,9726,
Uttar Pradesh,9,Social Forestry Division Moradabad,Bilari,LAYING OF GAS PIPE LINE IN MURADABAD& BADAYUN BY GAIS [23400],2011,"(1)Moradabad Chandausi Marg, Km 09, (2) Moradabad Sambhal Marg Km 10",0.182,Protected Forest (PF),01-08-2015,DFO Social Forestry Division Moradabad,4501,
Uttarakhand,5,"DFO Tons,Purola","RO Singatoor, Tons",KHARSARI TO JIWANU UNDER PMGSY PHASE-7 MR [31840],2009,"Bingsari-7, Ora-1",3.69,Reserved Forest (RF),29-07-2015,"DFO Tons,Purola",4484,
Uttar Pradesh,9,"Kashi Wildlife, Chanduali",Jaimohni,NARKATI LINK ROAD TO SRIPUR LINK ROAD(0.80 HA.) [23421],2011,NARKATI LINK ROAD TO SRIPUR LINK ROAD(0.80 HA.),0.8,Reserved Forest (RF),21-05-2015,"DFO Kashi Wildlife, Chanduali",2626,
Punjab,3,Gurdaspur,Kadian,Diversion of 0.0093 Ha of forest land for construction of approach road to a new Petrol Pump of IOC Ltd. at Village Longowal Kalan on Batala-Kahnuwan [32059],2014,Petrol Pump of IOC Ltd. at Village Longowal Kalan on Batala-Kahnuwan,0.009,Protected Forest (PF),28-10-2015,DFO Gurdaspur,6412,
Haryana,6,Kaithal,Pundri,CONST. OF BML HANSI - BUTANA BRANCH MULTIPURPOSE LINK CHANNEL [17042],2006,Hansi-Butana Link Chennal,2.2,Protected Forest (PF),13-06-2017,DFO Kaithal,9127,
Rajasthan,8,DCF Jalore,RANGE RANIWADA,BRIDGE FOR CROSSING MINOR BRIDGE UNDER ARNIYALI LIFT IRRIGATION PROJECT ON NH 15 [13933],2009,NATIONAL HIGHWAY NO 15 KM 291,0.403,Protected Forest (PF),24-11-2017,DFO DCF Jalore,9875,
Himachal Pradesh,2,Ani at Luhari,Nither,c/O 66kv d/c TRANSMISSION INE FROM 66/22 KV GIS SUB STATION BAGIPUL TO 66/220 KV SUB STATION KOTLA,2019,UPF MOIN,26.351,Unclassified Forest,18-09-2021,DFO Ani at Luhari,12496,
Punjab,3,Ferozepur,Abohar,"APP. ROAD TO THE RETAIL OUTLET AT VILLAGE GUMJAL ON ABOHAR-GNGANGAGAR -PANNIWALA ROAD KM. 0-1, R/S M/S IOCL [20162]",2011,"VILLAGE GUMJAL ON ABOHAR-GNGANGAGAR -PANNIWALA ROAD KM. 0-1, R/S",0.01,Protected Forest (PF),11-09-2015,DFO Ferozepur,5586,
Punjab,3,Amritsar,Amritsar-2,"APP. RD. TO GODOWN ON LINK ROAD BETWEEN G.T. ROAD AND TARN-TARAN ROAD ALONG UBDC R.D. 101-102 L/S, [20359]",2010,"APP. RD. TO GODOWN ON LINK ROAD BETWEEN G.T. ROAD AND TARN-TARAN ROAD ALONG UBDC R.D. 101-102 L/S,",0.027,Protected Forest (PF),21-01-2015,DFO Amritsar,1201,
Andhra Pradesh,28,Ananthapur,Gooty,"ML for seatite in favour of M/s Smt A. Sumana, Tadipatri. [91]",2002,Mutchukota R.F (M/s Sumana Minerals),2,Reserved Forest (RF),11-12-2014,RO Gooty,2633,
Uttarakhand,5,"DFO ,Kedarnath Wildlife Division","RO Lohva Range gairsain, Kedarnath",Construction of motor road from Mehalchori bend to Silangna-Ghaniyali,2019,Silangna,0.451,Revenue Forest,19-07-2022,"DFO ,Kedarnath Wildlife Division",13752,
Rajasthan,8,DCF Sikar,RANGE SIKAR,Construction of LILO of 220 KV S/C sikar 220 KV GSS dhod line at 400 KV GSS PGCIL Sikar,2021,Construction of LILO of 220 KV S/C sikar 220 KV GSS dhod line at 400 KV GSS PGCIL Sikar,0.133,Protected Forest (PF),24-02-2022,DFO DCF Sikar,13185,
Himachal Pradesh,2,Rohru,Rohru,Const of Summerkot-Tikkari-Shalawat Road(Rohru Ft Div) [5475],2019,C.No. 44 Jaunli,0.7,CA Land Received under FCA Proposal,28-12-2016,DFO Rohru,8252,
Tripura,16,Kailashahar,Kailashahar,Diversion of 1.21ha of forest land for establishment of Border Out Post[BOP]by the BSF at Halambari under Kailashahar Division.North Tripura District. [1280],2004,Establishment of Border Out Post[BOP]by the BSF at Halambari.,1.21,Unclassified Forest,11-03-2013,Administrator,848,
Uttarakhand,5,"DFO Narendra Nagar, Narendra nagar","RO Maniknath, narendra nagar",DANGCHAURA - PADIYAR GAON - BADON MOTOR ROAD (6.325 HA.) [10195],2007,Santa,1.65,Revenue Forest,07-03-2018,"DFO Narendra Nagar, Narendra nagar",10062,
Andhra Pradesh,28,WLM Tirupati,SVNP Tirupati,"Diversion 0.625 ha. for the construction of Masonary weir at papa- vinasanam dam"" [491]""",1988,Tirupati hill RF,0.625,Reserved Forest (RF),23-09-2014,AP State Admin,2054,
Gujarat,24,Bariya,Baria,CONSTRUCTION OF APPROACH ROAD JUNABARIA-BAMROLI KHEDA FALIYA ROAD UNDER PGGSY IN FAVOUR OF R & B DIVISION DAHOD [18144],2008,CONSTRUCTION OF APPROACH ROAD JUNABARIA-BAMROLI KHEDA FALIYA ROAD UNDER PGGSY IN FAVOUR OF R & B DIV,0.96,Reserved Forest (RF),06-02-2015,DFO Bariya,3292,
Andhra Pradesh,28,Proddatur (WL),Muddanur,Diversion of4 Ha forest land in Nelanuthala RF IN Proddatur Division. [12],2006,Nelanuthala RF,4,Reserved Forest (RF),22-12-2014,AP State Admin,2746,
Gujarat,24,Anand SF,Tarapur SF,"FOR ROAD WIDENING OF TARAPUR-KHAMBHAT ROAD KM. 84/0 TO 108/2 TARAPUR IN FAVOUR OF EXECUTIVE ENGINEER, R&B DIVISION [14587]",2012,TARAPUR - KHAMBHAT ROAD,11.985,Govt. Mangrove Forest PF,06-01-2015,DFO Anand SF,2951,
Punjab,3,Patiala,Patiala,PASSAGE TO GULMOHAR RESIDENTCY AT CHANDIGARH - PATIALA RD. [22139],2008,GULMOHAR RESIDENTCY,0.026,Protected Forest (PF),03-09-2015,DFO Patiala,5475,
Uttarakhand,5,"DFO ,Kedarnath Wildlife Division","RO Gopeshwar, Kedarnath",Construction of Dungri-Bijrakot-Chinka(Khothagdhar) Nauridhar-Bounla-Durgapur motor road. Under State Sector in Disrtict Chamoli,2016,"Dungri, Chinka , Baunla",3.15,Revenue Forest,06-07-2022,"DFO ,Kedarnath Wildlife Division",13686,
Uttarakhand,5,"DFO Lansdowne, kotdwaar","RO Lansdowne, Lansdowne",RENEWAL OF LEASE FOR DWSS IN FAVOUR OF SRI BALDEV PRASAD [12497],2001,Kura Co. No. 13,0.009,Reserved Forest (RF),31-08-2015,"DFO Lansdowne, kotdwaar",5278,
Tripura,16,District Forest Officer SEPAHIJALA,Boxanagar,Diversion of 1.04 ha forest land for exploratory drilling by ONGC location RO-AD.Under Sadar Forest Division West Tripura District. [1231],1998,Exploratory drilling by ONGC location RO-AD.,1.04,Reserved Forest (RF),07-01-2013,Administrator,796,
Karnataka,29,Karwar,Karwar,"Diversion of 0.06 ha. of f/l in Sy.No.12 of Kodibag village to the President, Karnataka All India Society for Welfare of Woman & Children, Karwar. [720]",2002,"Ft.Sy.No.12 of Kodibag village, Karwar Taluk.",0.06,Unclassified Forest,18-09-2014,DFO Karwar,1980,
Punjab,3,Patiala,Nabha,66KV line from 220KV S/S Focal Point Nabha to 66KV S/S Samundgarh [37354],2016,Diversion of 0.1287 ha of forest land for permission in favour of PSPCL for laying 66 Kv line from,0.129,Protected Forest (PF),22-02-2021,DFO Patiala,11920,
Uttar Pradesh,9,Forest Division Gorakhpur,Mukhylaya,TWO LANE BRIDGE OVER RAPTI RIVER ON NH-28 (0.43 HA.) [23672],2006,TWO LANE BRIDGE OVER RAPTI RIVER ON NH-28,0.43,Protected Forest (PF),24-04-2015,DFO Forest Division Gorakhpur,3756,
Uttar Pradesh,9,Social Forestry Division Mau,Doharighat,66 KV BALIA AZAMGARH EARTH ELECTRODE LINE [23510],2009,VARANASI-GORAKHPUR ROAD (NH-29),0.036,Protected Forest (PF),12-04-2015,DFO Social Forestry Division Mau,2002,
Punjab,3,Dasuya,Dasuya,CONSTRUCTION OF APPROACH ROAD TO PETROL/DIESEL PUMP ON HOSHIARPUR TANDA ROAD [21623],2003,Hoshiarpur Tanda Road Km 25-26 R/S Vill. kandhala Jattan,0.02,Protected Forest (PF),13-08-2015,DFO Dasuya,4671,
Punjab,3,Patiala,Sirhind,Construction of New Marriage Palace at village Channlo. [40268],2018,Diversion of 0.0196 ha of Forest Land for permission for approach road to the Marriage Palace of Pr,0.02,Protected Forest (PF),05-02-2021,DFO Patiala,11654,
Uttarakhand,5,"DFO Ramnagar , Ramnagar","RO Kosi , Ramanagar",CONSTRUCTION OF APPROACH ROAD FROM RAMNAGAR REST HOUSE TO PAMPAPAR [30940],1999,Upper Kosi beat upper kosi block,0.278,Reserved Forest (RF),21-07-2015,"DFO Ramnagar , Ramnagar",4343,
Madhya Pradesh,23,Neemach(T),Range Jawad,LAYING OF 132 KV TRANSMISSION LINE FROM BHAGWANPURA TO 132 KV SUBSTATION RATANGARH [14104],2013,Compartment No.P-67,4.538,Protected Forest (PF),29-10-2013,DFO Neemach(T),1016,
Haryana,6,Jhajjar(Central Rohtak),Jhajjar,"CONST. OF RROB OVER I/C NO. 27 ON REWARI-ROHTAK NEW RAILWAY LINE CROSSING NH 71 AT KM 386.490 NEAR VILLAGE GUDHA, FT. DIVN. JHAJJAR [18520]",2011,ROB over ON Rewari Rohtak New R/Line Crossing NH-71 at Village Gudha,1.2,Protected Forest (PF),25-02-2017,DFO Jhajjar(Central Rohtak),8833,
Uttarakhand,5,"DFO Tehri , New Tehri","RO Bhilangna , Tehri",CONSTRUCTION OF APPROACH ROAD UNDER BHILANGANA HYDRO POWER PROJECT(1.368 HA.) [12399],2006,Civil Soyam land,1.368,Revenue Forest,30-10-2015,"DFO Tehri , New Tehri",6467,
Haryana,6,Sirsa,Sirsa,Diversion of 0.0139 Ha of forest land for access to HPCL retail outlet along ODR ID -5817 at Delhi-Hisar road (NH-10) to Ding Makhosarani road Km 3.92 [31544],2014,Delhi - Hisar road (NH-10) to Ding Makhosarani road Km. 3.92 L/s at village Mochiwali,0.014,Protected Forest (PF),04-07-2015,Sirsa,4263,
Uttarakhand,5,"DFO Almora , Almora","RO Almora , Almora",BRIDLE BRIDGE ON KOSI RIVER NEAR SUYALBARI [30062],2010,suyalbadi pul,0.089,Reserved Forest (RF),28-08-2015,"DFO Almora , Almora",5225,
Uttar Pradesh,9,Social Forestry Division Aligarh,Atrauli,Proposed Forest Land for Exit/Entry Approach and Middle of Proposed BPCL Retail Outlet on Nanau-Chharra Road (MDR-82) in District:Aligarh [42593],2016,Nanau-Chharra Road (MDR-82) km 15 (Ch. 14.340),0.065,Protected Forest (PF),04-01-2022,DFO Social Forestry Division Aligarh,12809,
Andhra Pradesh,28,Cuddapah,Cuddapah,M/s KT Minerals [298],1998,KT Mines,2.69,Proposed Protected Forest (Proposed PF),09-08-2021,DFO Cuddapah,223,
Uttarakhand,5,"DFO Haldwani , Haldwani","RO Chhakata , Haldwani",PROTECTED FOREST LAND DIVERSION TO PWD FOR CONSTRUCTION OF CIRCUIT HOUSE [12314],2003,Sultannagri Van Block,0.995,Reserved Forest (RF),18-10-2014,"DFO Haldwani , Haldwani",2290,
Uttarakhand,5,"DFO Nainital, Nainital",RO Naina Nainital,CONSTRUCTION OF SILTONA BAJEDI MOTOR MARG UNDER PMGSY [13298],2006,Budulakot compartment 2,8.328,CA Land Received under FCA Proposal,20-03-2015,"DFO Nainital, Nainital",3548,
Uttarakhand,5,"DFO Terai West , Ramnagar","RO Bannakheda , TWFD",CONSTRUCTION OF RAMNAGAR-RATANPUR-BELPARAV MR [30368],1993,Bailparao Block,0.996,Reserved Forest (RF),10-11-2014,"DFO Terai West , Ramnagar",2382,
Uttarakhand,5,"DFO Bageshwar, Bageshwar","RO Kapkot , Bageshwar",KAIYAALIKOT-JAGTHANA MOTOR ROAD UNDER PMGSY-PH.V (6.1449 HA) [12745],2007,Sumit,1.8,Reserved Forest (RF),23-09-2015,"DFO Bageshwar, Bageshwar",6000,
Uttarakhand,5,"DFO Badrinath, Gopeshwar","RO East Pindar, badrinath",TRANSFER OF 0.232 HA.FOR CONSTRUCTION OF RAIN CANAL [3340],2005,rain,0.232,Protected Forest (PF),14-08-2015,"DFO Badrinath, Gopeshwar",4753,
Haryana,6,Bhiwani(West Circle Hissar),Bhiwani,"Diversion of 0.0150 ha for access to retail outlet of I.O.C. along Bhiwani-Tosham road, R/side, at village bapora, distt bhiwani. [27881]",2012,Bhiwani Tosham Road,0.015,Protected Forest (PF),03-10-2020,DFO Bhiwani(West Circle Hissar),8125,
Jammu And Kashmir,1,Bhaderwah Forest Division,Cheralla,"CONSTRUCTION AND UPGRADATION OF ROAD FROM DESIGN CHAINAGE 31.449 (KHELLANI, PARIYOT) TO KM 51.700 (PREM NAGAR) (DESIGN LENGTH 20.251 KM) IN THE UNIO",2022,"33/Ch, 32/Ch, 30/Ch",3.255,Reserved Forest (RF),22-07-2022,DFO Bhaderwah Forest Division,13764,
Uttarakhand,5,"DFO Mussoorie, Mussoorie","RO devalsari , Mussoorie",TEWA G.O.H. WATER SUPPLY SCHEME(0.0784 HA.) [12834],2007,"RF Auntar c.no. 8a, 8b & 8c",0.078,Reserved Forest (RF),06-05-2018,"DFO Mussoorie, Mussoorie",10291,
Haryana,6,Yamuna Nagar,Jagadhari,"widening of Road Chhaper to Adhoya , PWD PD2 , Ambala (Hr.) [36922]",2017,Muzadwala PF,1.248,Protected Forest (PF),17-02-2021,DFO Yamuna Nagar,11812,
Gujarat,24,Ahmedabad SF,Viramgam SF,Viramgam ÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ Bechraji road km. 1/800 to 42/000 [39248],2017,Diversion of 36.18 ha Protected Forest land for The Project of Widening 10.00 mtr to four lane of S.,36.18,Protected Forest (PF),27-11-2020,DFO Ahmedabad SF,11343,
Uttarakhand,5,"DFO Almora , Almora","RO Someshwar , Almora",GOLUCHINA-SRIKHET-BHITARKOT MOTOR MARG [12972],2008,"Musoli, malyalgaun",2.16,Protected Forest (PF),08-09-2015,"DFO Almora , Almora",3642,
Punjab,3,Ludhiana,Ludhiana,Diversion of 0.017048 ha of Forest land for Construction of approach road to the Retail Outlet of IOCL at Village Jandiyali on Kohara-Sahnewal Road Km [21055],2013,Kohara-Sahnewal Road,0.017,Protected Forest (PF),16-09-2015,DFO Ludhiana,5882,
Chhattisgarh,22,Baloda Bazar,Baloda Bazar,"CONSTN. OF NARSINGHPUR TANK IN F/O OF WATER RESOURCE DEPTT., MUNGELI [27290]",2006,CA Plantation Orange Area Damaru (Nayapara),26,CA Land Received under FCA Proposal,16-02-2022,DFO Baloda Bazar,13083,
Punjab,3,Ludhiana,Doraha,"Diversion of 0.019908 Ha. Of Forest Land for access road to the Marriage Palace Namely Jifco Resort at village Nandpur on NH-I, G.T Road, KM 302.459 R",2018,"village Nandpur on NH-I, G.T Road, KM 302.459 R/s, Teshil Sahnewal",0.02,Protected Forest (PF),27-01-2022,DFO Ludhiana,12918,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO south Jakholi , Rudraprayag",CONSTRUCTION OF BUILDING OF OMKARANANFD MONTESSORI JUNIOR HIGH SCHOOL [30878],1998,Narsing C.No.-1 B,0.39,Reserved Forest (RF),04-11-2015,"DFO Rudraprayag , Rudraprayag",6567,
Uttarakhand,5,"DFO Haldwani , Haldwani","RO Nandhour , Haldwani",GUTHKHOLA OKHALGHRHI TOK DWSS [30829],2002,"Lochula East 1,2 &3",0.437,Reserved Forest (RF),20-06-2015,"DFO Haldwani , Haldwani",4104,
Punjab,3,Bathinda,Rampura,APPROACH ROAD TO RETAIL OUTLET OF IOCL ON LEHRA MOHABBAT-BATH LINK ROAD KM. 0-1 R/S [20338],2010,LEHRA MOHABBAT-BATH LINK ROAD AT KM. 0-1 R/S LEHRA MOHABBAT,0.004,Protected Forest (PF),08-09-2015,DFO Bathinda,5590,
Uttarakhand,5,"DFO Champawat , Champawat","RO Bhingrada , Champawat",RITHASAHAB TO MINAR MOTOR ROAD(8.37) [11306],2007,"Machhiyar 1, 2",1.11,Reserved Forest (RF),28-07-2015,"DFO Champawat , Champawat",4439,
Punjab,3,Ludhiana,Doraha,Div of 0.016864 ha (instead of 0.01966 ha) of forest land for approach road to the Factory of M/s Sarita Forging (P) Ltd. on G.T. road km. 296-297 R/s [32952],2012,G.T Road. Km. 296-297 R/s.,0.017,Protected Forest (PF),06-07-2018,DFO Ludhiana,10508,
Punjab,3,Ludhiana,Ludhiana,"SETTING UP OF MINI HYDEL PLANT ON THE LEFT BANK OF SIDHWAN BRANCH CANAL AT ISEWAL RD 115090-116156,. [22050]",2007,Sidhwan branch canal,0.65,Protected Forest (PF),26-08-2015,DFO Ludhiana,5111,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO Khankra , Rudraprayag",BADIYARGAD - DHAURGI - SOURAKHAL MOTOR ROAD (3.60 HA.) [2916],2007,"Syanri C.No.-10 B, 11",3.6,Reserved Forest (RF),24-06-2015,"DFO Rudraprayag , Rudraprayag",4133,
Punjab,3,SAS Nagar,Kharar,CONST. OF APPROACH ROAD TO PARK WOOD GALED AT KM 3.95 L/S ON KHARAR-LANDRAN ROAD AT VILL. SANETA MAJRA [20279],2011,KHARAR-LANDRAN ROAD AT VILL. SANETA MAJRA,0.009,Proposed Protected Forest (Proposed PF),18-11-2014,DFO SAS Nagar,2445,
Rajasthan,8,DCF AJMER,RANGE NASIRABAD,COSTRUCTION OF SEVER LINE IN KISHANGARH-NUSIRSABAD BYPASS. [13465],2011,nan,0.56,Protected Forest (PF),23-01-2018,DFO DCF AJMER,9975,
Uttarakhand,5,"DFO Champawat , Champawat","RO Champawat , Champawat",CONSTRUCTION OF CIVIL COURT AT CHAMPAVAT [31005],2000,DUNGRASETHI CIVIL,0.3,Revenue Forest,31-08-2015,"DFO Champawat , Champawat",5306,
Uttarakhand,5,"DFO Mussoorie, Mussoorie","RO Mussoorie , mussoorie",SAHASTRADHARA - CHAMASARI MOTOR ROAD UNDER PMGSY (4.545 HA.) [6537],2007,"Chamasari- 4, 5 & civil Land",4.545,Reserved Forest (RF),08-01-2015,"DFO Mussoorie, Mussoorie",2970,
Gujarat,24,Sabarkantha,Rdf Khedbrahma,CONSTRUCTION OF ROAD [14494],1988,"MITHIBILI, MOTA BAVAL ROAD",5.4,Unclassified Forest,13-02-2015,DFO Sabarkantha,2785,
Gujarat,24,Rajkot SF,Morbi SF,"LAYING OFC LINES ALONG NH-8-B RAJKOTGONDAL ROAD & SH-GONDAL-ATKOL, JASDAN-VINCHIYA & MORBI-MALIA ROAD IN FAVOUR OF DIVISIONAL ENGINEER TELECOM PROJECT [14817]",2009,"LAYING OFC LINES ALONG NH-8-B RAJKOTGONDAL ROAD & SH-GONDAL-ATKOL, JASDAN-VINCHIYA & MORBI-MALIA ROA",6.12,Protected Forest (PF),19-01-2015,DFO Rajkot SF,3090,
